state,district,geoname_id
Jammu and Kashmir,Jammu,1269321
Jammu and Kashmir,Kathua,1267486
Jammu and Kashmir,Kishtwar,1266475
Jammu and Kashmir,Kulgam,1265734
Jammu and Kashmir,Kupwara,6268046
Jammu and Kashmir,Pulwama,1259251
Jammu and Kashmir,Ramban,1258715
Jammu and Kashmir,Samba,1257545
Jammu and Kashmir,Srinagar,1255634
Jammu and Kashmir,Udhampur,1253956
Puducherry,Karaikal,1267887
Puducherry,Puducherry,1259425
Andhra Pradesh,Alluri Sitharama Raju,12680239
Andhra Pradesh,Anakapalli,12680240
Andhra Pradesh,Ananthapur,1278673
Andhra Pradesh,Annamayya,12680241
Andhra Pradesh,Konaseema,12680249
Andhra Pradesh,East Godavari,1272123
Andhra Pradesh,Eluru,12680246
Andhra Pradesh,Krishna,1265869
Andhra Pradesh,NTR,12680255
Andhra Pradesh,Palnadu,12680257
Andhra Pradesh,Parvathipuram Manyam,12680258
Andhra Pradesh,Prakasam,1259346
Andhra Pradesh,Srikakulam,1255649
Andhra Pradesh,Sri Sathya Sai,12680263
Andhra Pradesh,West Godavari,1252873
Andhra Pradesh,YSR Kadapa,1273801
Arunachal Pradesh,Anjaw,9747950
Arunachal Pradesh,Changlang,9747946
Arunachal Pradesh,East Kameng,1272120
Arunachal Pradesh,East Siang,1272115
Arunachal Pradesh,Kamle,12572553
Arunachal Pradesh,Kra Daadi,11875510
Arunachal Pradesh,Kurung Kumey,9748007
Arunachal Pradesh,Lepa Rada,12572554
Arunachal Pradesh,Lohit,1264818
Arunachal Pradesh,Longding,11875575
Arunachal Pradesh,Lower Dibang Valley,9748012
Arunachal Pradesh,Lower Siang,11902898
Arunachal Pradesh,Lower Subansiri,1264739
Arunachal Pradesh,Namsai,11875509
Arunachal Pradesh,Pakke Kessang,12572547
Arunachal Pradesh,Papum Pare,9748025
Arunachal Pradesh,Shi Yomi,12572546
Arunachal Pradesh,Siang,11875511
Arunachal Pradesh,Tirap,1254418
Arunachal Pradesh,Dibang Valley,1272651
Arunachal Pradesh,Upper Siang,9748035
Arunachal Pradesh,Upper Subansiri,1253720
Arunachal Pradesh,West Kameng,1252869
Arunachal Pradesh,West Siang,1252865
Assam,Baksa,8985782
Assam,Bajali,12680242
Assam,Biswanath,11875508
Assam,Cachar,1275009
Assam,Charaideo,11875512
Assam,Chirang,8805933
Assam,Darrang,1273451
Assam,Dhubri,7627078
Assam,Dima Hasao,1261192
Assam,Kamrup,1268209
Assam,Kamrup Metropolitan,9747984
Assam,Karbi Anglong,1267812
Assam,Lakhimpur,1265243
Assam,Majuli,11875578
Assam,Nagaon,8849144
Assam,Nalbari,7627084
Assam,Sivasagar,1256389
Assam,Sonitpur,8739997
Assam,South Salmara Mancachar,11875515
Assam,Tamulpur,12680267
Assam,West Karbi Anglong,11875514
Bihar,Arwal,9748038
Bihar,Bhojpur,1275871
Bihar,East Champaran,1259186
Bihar,Jehanabad,7627222
Bihar,Kaimur District,8740934
Bihar,Lakhisarai,7627235
Bihar,Madhepura,7626568
Bihar,Munger,1262483
Bihar,Nalanda,1262081
Bihar,Rohtas,1258074
Bihar,Saran,1257248
Bihar,Vaishali,1253533
Bihar,West Champaran,1260208
Chhattisgarh,Balrampur,11875517
Chhattisgarh,Bastar,1276739
Chhattisgarh,Dantewada,9747953
Chhattisgarh,Gaurella Pendra Marwahi,12680247
Chhattisgarh,Janjgir-Champa,7627225
Chhattisgarh,Jashpur,7701599
Chhattisgarh,Kabirdham,7627230
Chhattisgarh,Khairgarh Chhuikhadan Gandai,12680248
Chhattisgarh,Korea,7701598
Chhattisgarh,Manendragarh Chirimiri Bharatpur,12680251
Chhattisgarh,Mohla Manpur Ambagarh Chouki,12680252
Chhattisgarh,Narayanpur,9748023
Chhattisgarh,Rajnandgaon,1258832
Chhattisgarh,Sarangarh Bilaigarh,12680260
Chhattisgarh,Sukma,11875524
Chhattisgarh,Surajpur,11875516
Chhattisgarh,Surguja,1255347
Goa,North Goa,9255562
Goa,South Goa,9255567
Gujarat,Arvalli,11875529
Gujarat,Banaskantha,1277417
Gujarat,Dahod,7627226
Gujarat,Dang,1254616
Gujarat,Devbhumi Dwarka,11875527
Gujarat,Gandhinagar,1271716
Gujarat,Gir Somnath,11875531
Gujarat,Kutch,1268731
Gujarat,Mahisagar,11875528
Gujarat,Mehsana,1264390
Gujarat,Narmada,9165869
Gujarat,Navsari,9072825
Gujarat,Panchmahal,1260571
Gujarat,Sabarkantha,1257922
Gujarat,Tapi,9072813
Haryana,Gurugram,1270644
Haryana,Kurukshetra,1265468
Himachal Pradesh,Kangra,1268085
Himachal Pradesh,Kinnaur,1266519
Himachal Pradesh,Kullu,1265710
Himachal Pradesh,Lahul and Spiti,1265292
Himachal Pradesh,Sirmaur,1256073
Jharkhand,Deoghar,9035761
Jharkhand,East Singhbhum,7701426
Jharkhand,Hazaribag,1270165
Jharkhand,Koderma,9747958
Jharkhand,Pakur,7701604
Jharkhand,Palamu,1260783
Jharkhand,Saraikela-Kharsawan,7701601
Jharkhand,West Singhbhum,1256163
Karnataka,Ballari,1276510
Karnataka,Belagavi,1276534
Karnataka,Bangalore Rural,1277332
Karnataka,Bangalore Urban,1277331
Karnataka,Chamarajanagar,8224050
Karnataka,Chikkaballapur,8224036
Karnataka,Dakshina Kannada,1273664
Karnataka,Davanagere,7646984
Karnataka,Gadag,7909847
Karnataka,Kalaburagi,1270753
Karnataka,Kodagu,1266426
Karnataka,Ramanagara,8224306
Karnataka,Tumakuru,1254090
Karnataka,Udupi,8224051
Karnataka,Uttara Kannada,1253630
Karnataka,Vijayanagar,12680266
Kerala,Alappuzha,1278986
Kerala,Palakkad,7289568
Kerala,Thrissur,8133543
Kerala,Wayanad,6951502
Madhya Pradesh,Agar Malwa,11875535
Madhya Pradesh,Alirajpur,9747929
Madhya Pradesh,Harda,8740099
Madhya Pradesh,Katni,8740806
Madhya Pradesh,Narsinghpur,1261755
Madhya Pradesh,Neemuch,8739995
Madhya Pradesh,Niwari,12572552
Madhya Pradesh,Sagar,1257852
Maharashtra,Ahmednagar,7626534
Maharashtra,Buldhana,1275118
Maharashtra,Chandrapur,9747944
Maharashtra,Dhule,1272692
Maharashtra,Gadchiroli,7626536
Maharashtra,Mumbai City District,1270836
Maharashtra,Mumbai Suburban,1270836
Maharashtra,Raigad,7626540
Maharashtra,Sindhudurg,7626539
Manipur,Chandel,9747955
Manipur,Imphal East,9747976
Manipur,Imphal West,9747977
Manipur,Jiribam,11875583
Manipur,Kamjong,11875587
Manipur,Kangpokpi,11875584
Manipur,Noney,11875585
Manipur,Pherzawl,11875590
Manipur,Senapati,8740334
Manipur,Tamenglong,8740332
Manipur,Tengnoupal,11875595
Manipur,Ukhrul,8740338
Meghalaya,East Garo Hills,1271512
Meghalaya,East Jaintia Hills,11875537
Meghalaya,East Khasi Hills,1266857
Meghalaya,Eastern West Khasi Hills,12680245
Meghalaya,North Garo Hills,11875538
Meghalaya,Ri Bhoi,7701507
Meghalaya,South Garo Hills,9748015
Meghalaya,South West Garo Hills,11875540
Meghalaya,South West Khasi Hills,11875539
Meghalaya,West Garo Hills,8986228
Meghalaya,West Jaintia Hills,1269523
Meghalaya,West Khasi Hills,7701511
Mizoram,Champhai,9166019
Mizoram,Hnahthial,12572557
Mizoram,Khawzawl,12572556
Mizoram,Lawngtlai,9166022
Mizoram,Saitual,12572555
Nagaland,Chumoukedima,12680244
Nagaland,Kiphire,9748005
Nagaland,Noklak,12680254
Nagaland,Peren,8335032
Nagaland,Phek,1259785
Nagaland,Tseminyu,12680265
Odisha,Boudh,8996923
Odisha,Bhadrak,7644924
Odisha,Debagarh,9747968
Odisha,Gajapati,8533699
Odisha,Jharsuguda,7627179
Odisha,Jagatsinghpur,7644925
Odisha,Khordha,7644927
Odisha,Kendujhar,1267268
Odisha,Kalahandi,1268508
Odisha,Kandhamal,7627181
Odisha,Kendrapara,7644926
Odisha,Malkangiri,7627182
Odisha,Mayurbhanj,1263245
Odisha,Nabarangpur,8908677
Odisha,Nuapada,8533697
Odisha,Rayagada,7627183
Odisha,Subarnapur,9748032
Punjab,Fatehgarh Sahib,7909874
Punjab,Fazilka,8407166
Punjab,Firozpur,1271884
Punjab,Gurdaspur,1270648
Punjab,Malerkotla,12680250
Punjab,Rupnagar,1257953
Punjab,Sahibzada Ajit Singh Nagar,8407426
Punjab,Shahid Bhagat Singh Nagar,8407479
Punjab,Sri Muktsar Sahib,7909875
Rajasthan,Chittorgarh,1274041
Rajasthan,Dholpur,7701204
Rajasthan,Jalore,1269393
Rajasthan,Jhunjhunu,1268937
Rajasthan,Ganganagar,1271686
Sikkim,Gyalshing,1252877
Sikkim,Pakyong,12680256
